qubo_size,qubo_index,best_cost_adiabatic,best_cost_heuristic,best_cost_cplex,prob_best_adiabatic,prob_best_heuristic
20,15,0.0,0.0,0.0,,
20,16,0.0,0.0,0.0,,
20,17,0.0,0.0,0.0,,
20,18,0.0,0.0,0.0,,
20,20,0.0,0.0,0.0,,
20,19,0.0,0.0,0.0,,
20,21,0.0,0.0,0.0,,
20,23,0.0,0.0,0.0,,
20,22,0.0,0.0,0.0,,
20,24,0.0,0.0,0.0,,
20,25,0.0,0.0,0.0,,
20,26,0.0,0.0,0.0,,
20,27,0.0,0.0,0.0,,
20,28,0.0,0.0,0.0,,
20,29,0.0,0.0,0.0,,
20,30,0.0,0.0,0.0,,
20,31,0.0,0.0,0.0,,
20,32,0.0,0.0,0.0,,
20,33,0.0,0.0,0.0,,
20,34,0.0,0.0,0.0,,
20,35,0.0,0.0,0.0,,
20,36,0.0,0.0,0.0,,
20,37,0.0,0.0,0.0,,
20,38,0.0,0.0,0.0,,
20,39,0.0,0.0,0.0,,
20,40,0.0,0.0,0.0,,
20,41,0.0,0.0,0.0,,
20,42,0.0,0.0,0.0,,
20,43,0.0,0.0,0.0,,
20,44,0.0,0.0,0.0,,
20,45,0.0,0.0,0.0,,
20,46,0.0,0.0,0.0,,
20,47,0.0,0.0,0.0,,
20,48,0.0,0.0,0.0,,
20,49,0.0,0.0,0.0,,
10,3,154.84823608398438,-34.03761291503906,-34.03761291503906,0.05000000074505806,0.10000000149011612
10,2,270.6329345703125,-30.2999267578125,-30.2999267578125,0.029999999329447746,0.05000000074505806
10,1,-108.80611419677734,-107.39419555664062,-124.43997955322266,0.009999999776482582,0.05000000074505806
10,9,182.56605529785156,-95.9792709350586,-95.9792709350586,0.019999999552965164,0.009999999776482582
10,4,-12.624130249023438,-146.78781127929688,-146.78781127929688,0.009999999776482582,0.23999999463558197
10,6,-16.23456573486328,-111.40599822998047,-111.40599822998047,0.019999999552965164,0.029999999329447746
10,7,180.40115356445312,-120.49691009521484,-120.49690246582031,0.019999999552965164,0.2199999988079071
10,8,27.75189971923828,-110.50250244140625,-113.09724426269531,0.07000000029802322,0.019999999552965164
10,5,104.50870513916016,-96.92396545410156,-96.92395782470703,0.09000000357627869,0.07999999821186066
10,0,115.94401550292969,-65.03618621826172,-65.03618621826172,0.019999999552965164,0.10000000149011612
15,3,-35.89125061035156,-140.80758666992188,-140.80758666992188,0.019999999552965164,0.03999999910593033
15,1,442.84112548828125,-113.17184448242188,-113.17184448242188,0.019999999552965164,0.009999999776482582
15,0,232.26776123046875,-103.46354675292969,-103.46354675292969,0.019999999552965164,0.05000000074505806
15,7,299.80596923828125,-83.90177154541016,-83.90177154541016,0.029999999329447746,0.17000000178813934
15,6,501.5081481933594,-124.53079223632812,-124.53079986572266,0.009999999776482582,0.03999999910593033
15,5,251.30908203125,-141.15682983398438,-141.1568145751953,0.019999999552965164,0.23000000417232513
15,9,348.2088928222656,-126.63850402832031,-126.63850402832031,0.019999999552965164,0.009999999776482582
15,4,512.2972412109375,-103.57051849365234,-103.57051849365234,0.019999999552965164,0.09000000357627869
15,2,323.49041748046875,-161.364501953125,-182.7035675048828,0.009999999776482582,0.029999999329447746
15,8,90.80293273925781,-93.76396179199219,-93.76396179199219,0.009999999776482582,0.019999999552965164
20,2,830.586181640625,-96.37223052978516,-118.0283203125,0.009999999776482582,0.009999999776482582
20,4,760.9818115234375,-66.47603607177734,-90.16363525390625,0.009999999776482582,0.05999999865889549
20,6,708.9410400390625,-139.318115234375,-156.51194763183594,0.009999999776482582,0.009999999776482582
20,9,1212.93798828125,-146.49713134765625,-146.49713134765625,0.009999999776482582,0.009999999776482582
20,8,726.1414794921875,-143.8267822265625,-143.8267822265625,0.009999999776482582,0.03999999910593033
20,1,506.8697509765625,-107.89857482910156,-158.21670532226562,0.009999999776482582,0.029999999329447746
20,7,309.9089050292969,-157.71524047851562,-177.09884643554688,0.009999999776482582,0.009999999776482582
20,3,695.0219116210938,-165.58218383789062,-191.32650756835938,0.009999999776482582,0.009999999776482582
20,5,857.4622802734375,-118.31776428222656,-118.31776428222656,0.009999999776482582,0.009999999776482582
20,0,662.0198974609375,-113.74977111816406,-119.5511703491211,0.009999999776482582,0.019999999552965164
